Gansu  (4290,1310)  (4340,1310)  (4240,1310)  (4240,1360)  (4290,1360)  (4340,1360)  (4240,1410)  (4290,1410)  (4340,1410)  (4240,1460)  (4290,1460)  (4340,1460)  (4190,1410)  (4190,1460)  (4190,1510)  (4190,1560)  (4240,1410)  | overflowToLeft=false
South Japan  (5610,1240)  (5660,1240)  (5560,1240)  (5560,1290)  (5610,1290)  (5660,1290)  (5510,1240)  (5510,1290)  (5710,1240)  (5710,1290)  (5460,1290)  (5460,1340)  (5510,1340)  (5560,1340)  (5610,1340)  (5660,1340)  (5710,1340)  (5715,1190)  (5465,1345)  | overflowToLeft=false
Northeast USA  (580,1120)  (630,1120)  (530,1120)  (480,1120)  (680,1120)  (480,1170)  (530,1170)  (430,1170)  (430,1220)  (480,1220)  (530,1220)  (430,1120)  (705,1073)  (755,1073)  (755,1023)  (435,1225)  | overflowToLeft=false
133 Sea Zone  (5600,1020)  (5650,1020)  (5550,1020)  (5550,1070)  (5600,1070)  (5650,1070)  (5550,1120)  (5600,1120)  (5650,1120)  (5550,970)  (5600,970)  (5650,970)  (5500,1070)  (5550,920)  (5600,920)  (5650,920)  (5500,1020)  (5460,1230)  (5500,1120)  (5500,1170)  (5450,1090)  (5555,1128)  (5505,1178)  | overflowToLeft=false
Tangayika  (2870,2900)  (2920,2900)  (2820,2900)  (2820,2950)  (2870,2950)  (2920,2950)  (2820,3000)  (2870,3000)  (2920,3000)  (2770,2900)  (2770,2950)  (2770,3000)  (2970,2900)  (2970,2950)  (2970,3000)  (2770,2850)  (2780,3010)  | overflowToLeft=false
North Ural  (3730,520)  | overflowToLeft=false
84 Sea Zone  (4270,3080)  (4320,3080)  (4220,3080)  (4220,3130)  (4270,3130)  (4320,3130)  (4220,3180)  (4270,3180)  (4320,3180)  (4370,3080)  (4370,3130)  (4370,3180)  (4170,3080)  (4170,3130)  (4170,3180)  (4420,3080)  (4420,3130)  (4420,3180)  (4120,3080)  (4120,3130)  (4120,3180)  (4125,3185)  | overflowToLeft=false
Paraguay  (890,2770)  (940,2770)  (840,2770)  (840,2820)  (890,2820)  (940,2820)  (898,2868)  (845,2825)  | overflowToLeft=false
Syria  (3140,1740)  (3190,1740)  (3090,1740)  (3090,1790)  (3140,1790)  (3190,1790)  (3240,1740)  (3290,1740)  (3140,1835)  (3210,1690)  (3260,1690)  | overflowToLeft=false
North Chile  (705,2800)  (655,2800)  (655,2850)  (705,2850)  (655,2900)  (705,2900)  (655,2950)  (705,2950)  (655,3000)  (705,3000)  (660,3005)  | overflowToLeft=false
Solomon Islands  (6190,2660)  (6240,2660)  (6150,2660)  (6140,2710)  (6190,2710)  (6240,2710)  (6140,2760)  (6190,2760)  (6240,2760)  (6142,2762)  | overflowToLeft=false
56 Sea Zone  (2130,2800)  (2180,2800)  (2080,2800)  (2080,2850)  (2130,2850)  (2180,2850)  (2080,2900)  (2130,2900)  (2180,2900)  (2080,2950)  (2130,2950)  (2180,2950)  (2080,3000)  (2130,3000)  (2180,3000)  (2230,2800)  (2230,2850)  (2230,2900)  (2230,2950)  (2230,3000)  (2280,3000)  (2085,3005)  | overflowToLeft=false
100 Sea Zone  (5365,2750)  (5415,2750)  (5315,2750)  (5315,2800)  (5365,2800)  (5415,2800)  (5315,2850)  (5365,2850)  (5415,2850)  (5265,2850)  (5265,2900)  (5315,2900)  (5365,2900)  (5265,2950)  (5315,2950)  (5265,3000)  (5115,3040)  (5165,3040)  (5215,3040)  (5115,3090)  (5165,3090)  (5215,3090)  (5065,3040)  (5065,3090)  (5070,3095)  | overflowToLeft=false
Hubei  (4618,1484)  (4570,1531)  (4570,1483)  (4665,1532)  (4618,1436)  (4666,1436)  (4666,1484)  (4617,1579)  (4697,1580)  (4710,1388)  | overflowToLeft=false
9 Sea Zone  (2980,229)  (3030,229)  (2930,229)  (2880,229)  (2830,229)  (3080,229)  (3130,229)  (3180,229)  (2990,278)  (2990,327)  (2826,225)  | overflowToLeft=false
North Amazonas  (798,2390)  | overflowToLeft=false
Ottawa  (688,993)  (1123,70)  (1173,70)  (1073,70)  (1073,120)  (1123,120)  (1173,120)  (1073,170)  (1123,170)  (1173,170)  (1125,172)  | overflowToLeft=false
28 Sea Zone  (980,1340)  (1030,1340)  (930,1340)  (930,1390)  (980,1390)  (1030,1390)  (930,1440)  (980,1440)  (1030,1440)  (930,1490)  (980,1490)  (1030,1490)  (930,1540)  (980,1540)  (1030,1540)  (880,1340)  (880,1390)  (880,1440)  (880,1490)  (880,1540)  (1070,1340)  (1080,1390)  (1080,1440)  (1080,1490)  (1080,1540)  | overflowToLeft=false
Northwest Territory  (70,445)  (120,445)  (20,445)  (20,495)  (70,495)  (120,495)  (20,545)  (70,545)  (120,545)  (170,495)  (170,545)  (20,370)  (20,320)  (70,320)  (20,270)  (70,270)  (25,550)  | overflowToLeft=false
California  (7485,1082)  (7535,1082)  (7435,1082)  (7585,1082)  (7485,1132)  (7535,1132)  (7585,1132)  (7485,1182)  (7535,1182)  (7585,1182)  (7485,1232)  (7535,1232)  (7585,1232)  (7385,1082)  (7395,1032)  (7490,1237)  | overflowToLeft=false
West Germany  (2343,905)  (2293,905)  (2345,965)  (2295,965)  (2293,1015)  (2343,1015)  (2343,1065)  (2393,1065)  (2292,1115)  (2342,1115)  (2390,1115)  (2290,1165)  (2340,1165)  (2393,1015)  (2297,1110)  | overflowToLeft=false
Portuguese Guinea  (1625,2165)  (1480,70)  (1380,70)  (1430,70)  (1380,120)  (1430,120)  (1480,120)  (1380,170)  (1430,170)  (1480,170)  (1382,172)  | overflowToLeft=false
125 Sea Zone  (7160,1700)  (7210,1700)  (7110,1700)  (7110,1750)  (7160,1750)  (7210,1750)  (7110,1800)  (7160,1800)  (7210,1800)  (7110,1850)  (7160,1850)  (7210,1850)  (7110,1900)  (7160,1900)  (7210,1900)  (7110,1950)  (7160,1950)  (7210,1950)  (7110,2000)  (7160,2000)  (7210,2000)  (7110,2050)  (7160,2050)  (7210,2050)  | overflowToLeft=false
West Ukraine  (2985,1155)  (3035,1155)  (2935,1155)  (2935,1205)  (2985,1205)  (3035,1205)  (2938,1255)  (2988,1255)  (3038,1255)  (2985,1305)  (3035,1305)  (2885,1155)  (2885,1205)  (2900,1110)  (2885,1205)  | overflowToLeft=false
East Poland  (2905,975)  (2855,975)  (2855,1025)  (2899,1025)  (2799,975)  (2799,1025)  (2799,1075)  (2867,1075)  (2919,1075)  (2949,975)  (2949,1025)  (2839,1125)  (2797,927)  (2799,1075)  | overflowToLeft=false
Finland  (2736,332)  (2736,382)  (2750,432)  (2750,485)  (2800,485)  (2742,535)  (2792,535)  (2742,585)  (2792,588)  (2686,332)  (2686,382)  (2745,593)  | overflowToLeft=false
23 Sea Zone  (980,1055)  (1030,1055)  (930,1055)  (930,1105)  (980,1105)  (1030,1105)  (930,1155)  (980,1155)  (1030,1155)  (930,1205)  (980,1205)  (1030,1205)  (930,1255)  (980,1255)  (1030,1255)  (1080,1055)  (1080,1105)  (1080,1155)  (1080,1205)  (1080,1255)  (880,1055)  (880,1105)  (880,1155)  (880,1205)  (880,1255)  (885,1060)  | overflowToLeft=false
Cyrenaica  (2587,1950)  (2637,1950)  (2537,1950)  (2537,2000)  (2587,2000)  (2637,2000)  (2537,2050)  (2587,2050)  (2637,2050)  (2537,2100)  (2587,2100)  (2637,2100)  (2487,1950)  (2487,2050)  (2487,2100)  (2487,2000)  (2637,2150)  (2657,1900)  (2487,2110)  | overflowToLeft=false
